time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1720064720.85591364,0.02280142,0.00215635,0.00000454,13677.00000000,0.01622199,0.000000,0.000000
1720064720.95574737,0.02277434,0.00164000,0.00000468,13684.00000000,0.01603214,0.000000,0.000000
1720064721.05637789,0.02272643,0.00153706,0.00000339,13702.00000000,0.01074913,0.000000,0.000000
1720064721.15621448,0.02269040,0.00164092,0.00000428,13703.00000000,0.01364549,0.000000,0.000000
1720064721.25605106,0.02265457,0.00191675,0.00000417,13685.00000000,0.01362692,0.000000,0.000000
1720064721.35589504,0.02261486,0.00123449,0.00000421,13703.00000000,0.01256719,0.000000,0.000000
1720064721.45612645,0.02257060,0.00146523,0.00000338,13720.00000000,0.01132955,0.000000,0.000000
1720064721.55596352,0.02252089,0.00130903,0.00000325,13728.00000000,0.00984477,0.000000,0.000000
1720064721.65580416,0.02248396,0.00173746,0.00000439,13736.00000000,0.01302927,0.000000,0.000000
1720064721.75643921,0.02243980,0.00126848,0.00000366,13750.00000000,0.01108957,0.000000,0.000000
1720064721.85628390,0.02239606,0.00114540,0.00000372,13770.00000000,0.01111284,0.000000,0.000000
1720064721.95611477,0.02234065,0.00116194,0.00000281,13781.00000000,0.00798872,0.000000,0.000000
1720064722.05595136,0.02230252,0.00134420,0.00000468,13781.00000000,0.01238849,0.000000,0.000000
1720064722.15579915,0.02226805,0.00147711,0.00000484,13803.00000000,0.01327097,0.000000,0.000000
1720064722.25642586,0.02222670,0.00140181,0.00000434,13824.00000000,0.01139389,0.000000,0.000000
1720064722.35625052,0.02218045,0.00156296,0.00000357,13836.00000000,0.01001736,0.000000,0.000000
1720064722.45608282,0.02214095,0.00156181,0.00000365,13825.00000000,0.01171127,0.000000,0.000000
1720064722.55592847,0.02210283,0.00144739,0.00000425,13816.00000000,0.01200210,0.000000,0.000000
1720064722.65575552,0.02206492,0.00148503,0.00000437,13828.00000000,0.01198141,0.000000,0.000000
1720064722.75640249,0.02202943,0.00106430,0.00000466,13843.00000000,0.01255332,0.000000,0.000000
1720064722.85623884,0.02198135,0.00108164,0.00000292,13836.00000000,0.00909456,0.000000,0.000000
1720064722.95607829,0.02196211,0.00252637,0.00000481,13837.00000000,0.01678719,0.000000,0.000000
1720064723.05590630,0.02191981,0.00113433,0.00000364,13741.00000000,0.01049752,0.000000,0.000000
1720064723.15575004,0.02187999,0.00113020,0.00000390,13747.00000000,0.01108937,0.000000,0.000000
1720064723.25640178,0.02184473,0.00110926,0.00000408,13781.00000000,0.01225367,0.000000,0.000000
1720064723.35624623,0.02179826,0.00165324,0.00000302,13804.00000000,0.00911370,0.000000,0.000000
1720064723.45608258,0.02177758,0.00128681,0.00000517,13806.00000000,0.01611008,0.000000,0.000000
1720064723.55592561,0.02174360,0.00206134,0.00000448,13826.00000000,0.01239878,0.000000,0.000000
1720064723.65577412,0.02170197,0.00145071,0.00000412,13679.00000000,0.01021304,0.000000,0.000000
1720064723.75641656,0.02166847,0.00215922,0.00000441,13698.00000000,0.01238937,0.000000,0.000000
1720064723.85627890,0.02164934,0.00158193,0.00000632,13731.00000000,0.01632967,0.000000,0.000000
1720064723.95612121,0.02160262,0.00145150,0.00000323,13771.00000000,0.00856809,0.000000,0.000000
1720064724.05597186,0.02156332,0.00106645,0.00000415,13798.00000000,0.01056080,0.000000,0.000000
1720064724.15582323,0.02152203,0.00142884,0.00000380,13817.00000000,0.00991969,0.000000,0.000000
1720064724.25605774,0.02148937,0.00167877,0.00000444,13844.00000000,0.01227685,0.000000,0.000000
1720064724.35591221,0.02145597,0.00235754,0.00000442,13879.00000000,0.01200571,0.000000,0.000000
1720064724.45575929,0.02142041,0.00125546,0.00000440,13816.00000000,0.01132104,0.000000,0.000000
1720064724.55637836,0.02138200,0.00178868,0.00000406,13851.00000000,0.01043418,0.000000,0.000000
